BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
00113,,00113,0.003844311,3,,,2,,0,,2,,,,,0.003842517,1
00120,,00120,0.003842517,0,,,3,,0,,2,,,,,0.003840723,1
00121,,00121,0.003840723,1,0.015355716,,3,,0,,2,,,,,0.003837135,1
00122,,00122,0.003837135,2,,,3,,0,,2,,,,,0.003835341,2
00123,,00123,0.003835341,3,,,3,,0,,2,,,,,0.003835341,2
00130,,00130,0.003835341,0,,,0,,1,,2,,,,,0.003831753,2
00131,,00131,0.003831753,1,0.015328807,,0,,1,,2,,,,,0.003831753,2
00132,,00132,0.003831753,2,,,0,,1,,2,,,,,0.00382996,1
00133,,00133,0.00382996,3,,,0,,1,,2,,,,,0.003826372,4
001010,,001010,0.003826372,0,,,1,,1,,2,,,,,0.003826372,4
001011,,001011,0.003826372,1,0.015305488,,1,0.061196833,1,,2,,,,,0.003826372,4
001012,,001012,0.003826372,2,,,1,,1,,2,,,,,0.003826372,4
001013,,001013,0.003826372,3,,,1,,1,0.243083148,2,,,,,0.003824578,1
001020,,001020,0.003824578,0,,,2,,1,,2,,,,,0.003822784,3
001021,,001021,0.003822784,1,0.01529293,,2,,1,,2,,,,,0.003822784,3
001022,,001022,0.003822784,2,,,2,,1,,2,,,,,0.003822784,3
001023,,001023,0.003822784,3,,,2,,1,,2,,,,,0.00382099,1
001030,,001030,0.00382099,0,,,3,,1,,2,,,,,0.003819196,1
001031,,001031,0.003819196,1,0.015269608,,3,,1,,2,,,,,0.003815608,1
001032,,001032,0.003815608,2,,,3,,1,,2,,,,,0.003813814,1
001033,,001033,0.003813814,3,,,3,,1,,2,,,,,0.003810227,3
0010000,,0010000,0.003810227,0,,,0,,2,,2,,,,,0.003810227,3
0010001,,0010001,0.003810227,1,0.015235526,,0,,2,,2,,,,,0.003810227,3
0010002,,0010002,0.003810227,2,,,0,,2,,2,,,,,0.003804845,3
0010003,,0010003,0.003804845,3,,,0,,2,,2,,,,,0.003804845,3
