BOD,QUAT,,*,,,*,,*,,*,,,,,,
,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,
2030,,0.003842517,0,,,3,,0,,2,,,,,0.003840723,1
2031,,0.003840723,1,0.015355716,,3,,0,,2,,,,,0.003837135,1
2032,,0.003837135,2,,,3,,0,,2,,,,,0.003835341,2
2033,,0.003835341,3,,,3,,0,,2,,,,,0.003835341,2
2100,,0.003835341,0,,,0,,1,,2,,,,,0.003831753,2
2101,,0.003831753,1,0.015328807,,0,,1,,2,,,,,0.003831753,2
2102,,0.003831753,2,,,0,,1,,2,,,,,0.00382996,1
2103,,0.00382996,3,,,0,,1,,2,,,,,0.003826372,4
2110,,0.003826372,0,,,1,,1,,2,,,,,0.003826372,4
2111,,0.003826372,1,0.015305488,,1,0.061196833,1,,2,,,,,0.003826372,4
2112,,0.003826372,2,,,1,,1,,2,,,,,0.003826372,4
2113,,0.003826372,3,,,1,,1,0.243083148,2,,,,,0.003824578,1
2120,,0.003824578,0,,,2,,1,,2,,,,,0.003822784,3
2121,,0.003822784,1,0.01529293,,2,,1,,2,,,,,0.003822784,3
2122,,0.003822784,2,,,2,,1,,2,,,,,0.003822784,3
2123,,0.003822784,3,,,2,,1,,2,,,,,0.00382099,1
2130,,0.00382099,0,,,3,,1,,2,,,,,0.003819196,1
2131,,0.003819196,1,0.015269608,,3,,1,,2,,,,,0.003815608,1
2132,,0.003815608,2,,,3,,1,,2,,,,,0.003813814,1
2133,,0.003813814,3,,,3,,1,,2,,,,,0.003810227,3
2200,,0.003810227,0,,,0,,2,,2,,,,,0.003810227,3
2201,,0.003810227,1,0.015235526,,0,,2,,2,,,,,0.003810227,3
2202,,0.003810227,2,,,0,,2,,2,,,,,0.003804845,3
2203,,0.003804845,3,,,0,,2,,2,,,,,0.003804845,3
2210,,0.003804845,0,,,1,,2,,2,,,,,0.003804845,3
2211,,0.003804845,1,0.01521041,,1,0.06064591,2,,2,,,,,0.003801257,1
2212,,0.003801257,2,,,1,,2,,2,,,,,0.003799463,2
2213,,0.003799463,3,,,1,,2,,2,,,,,0.003799463,2
2220,,0.003799463,0,,,2,,2,,2,,,,,0.003797669,2
2221,,0.003797669,1,0.015190677,,2,,2,,2,,,,,0.003797669,2
2222,,0.003797669,2,,,2,,2,,2,,,,,0.003795876,1
2223,,0.003795876,3,,,2,,2,,2,,,,,0.003792288,1
2230,,0.003792288,0,,,3,,2,,2,,,,,0.0037887,1
2231,,0.0037887,1,0.015009297,,3,,2,,2,,,,,0.003715051,1
2232,,0.003715051,2,,,3,,2,,2,,,,,0.003713258,1
2233,,0.003713258,3,,,3,,2,,2,,,,,0.003711464,1
2300,,0.003711464,0,,,0,,3,,2,,,,,0.003707876,2
2301,,0.003707876,1,0.014831504,,0,,3,,2,,,,,0.003707876,2
2302,,0.003707876,2,,,0,,3,,2,,,,,0.003704288,1
2303,,0.003704288,3,,,0,,3,,2,,,,,0.003702494,1
2310,,0.003702494,0,,,1,,3,,2,,,,,0.0037007,1
2311,,0.0037007,1,0.014781274,,1,0.058940327,3,,2,,,,,0.003693525,1
2312,,0.003693525,2,,,1,,3,,2,,,,,0.003684555,1
2313,,0.003684555,3,,,1,,3,,2,,,,,0.003682761,1
2320,,0.003682761,0,,,2,,3,,2,,,,,0.003673792,1
2321,,0.003673792,1,0.014698755,,2,,3,,2,,,,,0.003671998,1
2322,,0.003671998,2,,,2,,3,,2,,,,,0.003670204,1
2323,,0.003670204,3,,,2,,3,,2,,,,,0.003666616,1
2330,,0.003666616,0,,,3,,3,,2,,,,,0.003659441,1
2331,,0.003659441,1,0.014628794,,3,,3,,2,,,,,0.003657647,1
2332,,0.003657647,2,,,3,,3,,2,,,,,0.00364509,1
2333,,0.00364509,3,,,3,,3,,2,,,,,0.003639708,1
3000,,0.003639708,0,,,0,,0,,3,,,,,0.003621769,1
3001,,0.003621769,1,0.01448887,,0,,0,,3,,,,,0.003618181,1
3002,,0.003618181,2,,,0,,0,,3,,,,,0.003609212,1
3003,,0.003609212,3,,,0,,0,,3,,,,,0.0021,60
3010,,0.0021,0,,,1,,0,,3,,,,,0.0021,60
3011,,0.0021,1,0.0084,,1,0.03968887,0,,3,,,,,0.0021,60
3012,,0.0021,2,,,1,,0,,3,,,,,0.0021,60
3013,,0.0021,3,,,1,,0,,3,,,,,0.0021,60
3020,,0.0021,0,,,2,,0,,3,,,,,0.0021,60
3021,,0.0021,1,0.0084,,2,,0,,3,,,,,0.0021,60
3022,,0.0021,2,,,2,,0,,3,,,,,0.0021,60
3023,,0.0021,3,,,2,,0,,3,,,,,0.0021,60
3030,,0.0021,0,,,3,,0,,3,,,,,0.0021,60
3031,,0.0021,1,0.0084,,3,,0,,3,,,,,0.0021,60
3032,,0.0021,2,,,3,,0,,3,,,,,0.0021,60
3033,,0.0021,3,,,3,,0,,3,,,,,0.0021,60
3100,,0.0021,0,,,0,,1,,3,,,,,0.0021,60
3101,,0.0021,1,0.0084,,0,,1,,3,,,,,0.0021,60
3102,,0.0021,2,,,0,,1,,3,,,,,0.0021,60
3103,,0.0021,3,,,0,,1,,3,,,,,0.0021,60
3110,,0.0021,0,,,1,,1,,3,,,,,0.0021,60
3111,,0.0021,1,0.0084,,1,0.0336,1,,3,,,,,0.0021,60
3112,,0.0021,2,,,1,,1,,3,,,,,0.0021,60
3113,,0.0021,3,,,1,,1,0.14048887,3,,,,,0.0021,60
3120,,0.0021,0,,,2,,1,,3,,,,,0.0021,60
3121,,0.0021,1,0.0084,,2,,1,,3,,,,,0.0021,60
3122,,0.0021,2,,,2,,1,,3,,,,,0.0021,60
3123,,0.0021,3,,,2,,1,,3,,,,,0.0021,60
3130,,0.0021,0,,,3,,1,,3,,,,,0.0021,60
3131,,0.0021,1,0.0084,,3,,1,,3,,,,,0.0021,60
3132,,0.0021,2,,,3,,1,,3,,,,,0.0021,60
3133,,0.0021,3,,,3,,1,,3,,,,,0.0021,60
3200,,0.0021,0,,,0,,2,,3,,,,,0.0021,60
3201,,0.0021,1,0.0084,,0,,2,,3,,,,,0.0021,60
3202,,0.0021,2,,,0,,2,,3,,,,,0.0021,60
3203,,0.0021,3,,,0,,2,,3,,,,,0.0021,60
3210,,0.0021,0,,,1,,2,,3,,,,,0.0021,60
3211,,0.0021,1,0.0084,,1,0.0336,2,,3,,,,,0.0021,60
3212,,0.0021,2,,,1,,2,,3,,,,,0.0021,60
3213,,0.0021,3,,,1,,2,,3,,,,,0.0021,60
3220,,0.0021,0,,,2,,2,,3,,,,,0.0021,60
3221,,0.0021,1,0.0084,,2,,2,,3,,,,,0.0021,60
3222,,0.0021,2,,,2,,2,,3,,,,,0.0021,60
3223,,0.0021,3,,,2,,2,,3,,,,,0.0021,60
3230,,0.0021,0,,,3,,2,,3,,,,,0.0021,60
3231,,0.0021,1,0.0084,,3,,2,,3,,,,,0.0021,60
3232,,0.0021,2,,,3,,2,,3,,,,,0.0021,60
3233,,0.0021,3,,,3,,2,,3,,,,,0.0021,60
3300,,0.0021,0,,,0,,3,,3,,,,,0.0021,60
3301,,0.0021,1,0.0084,,0,,3,,3,,,,,0.0021,60
3302,,0.0021,2,,,0,,3,,3,,,,,0.0021,60
3303,,0.0021,3,,,0,,3,,3,,,,,0.0021,60
3310,,0.0021,0,,,1,,3,,3,,,,,0.0021,60
3311,,0.0021,1,0.0084,,1,0.0336,3,,3,,,,,0.0021,60
3312,,0.0021,2,,,1,,3,,3,,,,,0.0021,60
3313,,0.0021,3,,,1,,3,,3,,,,,0.0021,60
3320,3320,0.0021,0,,,2,,3,,3,,,,,0.0021,60
3321,3321,0.0021,1,0.0084,,2,,3,,3,,,,,0.0021,60
3322,3322,0.0021,2,,,2,,3,,3,,,,,0.0021,60
3323,3323,0.0021,3,,,2,,3,,3,,,,,0.0021,60
3330,3330,0.0021,0,,,3,,3,,3,,,,,0.0021,60
3331,3331,0.0021,1,0.0084,,3,,3,,3,,,,,0.0021,60
3332,3332,0.0021,2,,,3,,3,,3,,,,,0.0021,60
3333,3333,0.0021,3,,,3,,3,,3,,,,,,
