BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
20030,,10,0.003948356,0,,,3,,3,,1,,,,,0.003948356,4
20031,,11,0.003948356,1,0.015791631,,3,,3,,1,,,,,0.003948356,4
20032,,12,0.003948356,2,,,3,,3,,1,,,,,0.003946563,1
20033,,13,0.003946563,3,,,3,,3,,1,,,,,0.003941181,2
200030,,20,0.003941181,0,,,0,,0,,2,,,,,0.003941181,2
200031,,21,0.003941181,1,0.015757548,,0,,0,,2,,,,,0.003939387,1
200032,,22,0.003939387,2,,,0,,0,,2,,,,,0.003935799,1
200033,,23,0.003935799,3,,,0,,0,,2,,,,,0.003934005,2
200020,,30,0.003934005,0,,,1,,0,,2,,,,,0.003934005,2
200021,,31,0.003934005,1,0.015727051,,1,0.062300078,0,,2,,,,,0.003930417,1
200022,,32,0.003930417,2,,,1,,0,,2,,,,,0.003928624,1
200023,,33,0.003928624,3,,,1,,0,,2,,,,,0.00392683,1
200010,,110,0.00392683,0,,,2,,0,,2,,,,,0.003844311,3
200011,,111,0.003844311,1,0.015459763,,2,,0,,2,,,,,0.003844311,3
200012,,112,0.003844311,2,,,2,,0,,2,,,,,0.003844311,3
200013,,113,0.003844311,3,,,2,,0,,2,,,,,0.003842517,1
2000010,,120,0.003842517,0,,,3,,0,,2,,,,,0.003840723,1
2000011,,121,0.003840723,1,0.015355716,,3,,0,,2,,,,,0.003837135,1
2000012,,122,0.003837135,2,,,3,,0,,2,,,,,0.003835341,2
2000013,,123,0.003835341,3,,,3,,0,,2,,,,,0.003835341,2
2000030,,130,0.003835341,0,,,0,,1,,2,,,,,0.003831753,2
2000031,,131,0.003831753,1,0.015328807,,0,,1,,2,,,,,0.003831753,2
2000032,,132,0.003831753,2,,,0,,1,,2,,,,,0.00382996,1
2000033,,133,0.00382996,3,,,0,,1,,2,,,,,0.003826372,4
2000020,,1010,0.003826372,0,,,1,,1,,2,,,,,0.003826372,4
2000021,,1011,0.003826372,1,0.015305488,,1,0.061196833,1,,2,,,,,0.003826372,4
2000022,,1012,0.003826372,2,,,1,,1,,2,,,,,0.003826372,4
2000023,,1013,0.003826372,3,,,1,,1,0.243083148,2,,,,,0.003824578,1
20000010,,1020,0.003824578,0,,,2,,1,,2,,,,,0.003822784,3
20000011,,1021,0.003822784,1,0.01529293,,2,,1,,2,,,,,0.003822784,3
20000012,,1022,0.003822784,2,,,2,,1,,2,,,,,0.003822784,3
20000013,,1023,0.003822784,3,,,2,,1,,2,,,,,0.00382099,1
20000000,,1030,0.00382099,0,,,3,,1,,2,,,,,0.003819196,1
20000001,,1031,0.003819196,1,0.015269608,,3,,1,,2,,,,,0.003815608,1
20000002,,1032,0.003815608,2,,,3,,1,,2,,,,,0.003813814,1
20000003,,1033,0.003813814,3,,,3,,1,,2,,,,,0.003810227,3
20000020,,10000,0.003810227,0,,,0,,2,,2,,,,,0.003810227,3
20000021,,10001,0.003810227,1,0.015235526,,0,,2,,2,,,,,0.003810227,3
20000022,,10002,0.003810227,2,,,0,,2,,2,,,,,0.003804845,3
20000023,,10003,0.003804845,3,,,0,,2,,2,,,,,0.003804845,3
20000030,,10010,0.003804845,0,,,1,,2,,2,,,,,0.003804845,3
20000031,,10011,0.003804845,1,0.01521041,,1,0.06064591,2,,2,,,,,0.003801257,1
20000032,,10012,0.003801257,2,,,1,,2,,2,,,,,0.003799463,2
20000033,,10013,0.003799463,3,,,1,,2,,2,,,,,0.003799463,2
320,,10020,0.003799463,0,,,2,,2,,2,,,,,0.003797669,2
321,,10021,0.003797669,1,0.015190677,,2,,2,,2,,,,,0.003797669,2
322,,10022,0.003797669,2,,,2,,2,,2,,,,,0.003795876,1
